Municipality,Township,Name,Sub_Location,Address,Latitude,Longitude,Address found
Surf Coast Shire,Aireys Inlet,"Grassed road reserve between 73
Great Ocean Road and Bambra Road",,Great Ocean Road (between  number 73 and Bambra Road),-38.7576543,143.6696822,"73 Great Ocean Rd, Apollo Bay VIC 3233, Australia"
Surf Coast Shire,Aireys Inlet,Aireys Inlet Bottom Shops,Car parking area in front,Great Ocean Road (opposite Inlet Crescent),-38.4555949,144.1077879,"Great Ocean Rd, Aireys Inlet VIC 3231, Australia"
Murrindindi Shire,Alexandra,Leckie Park,Cricket Oval,Station Street (opposite Lamont Street),-37.1888102,145.7111251,"Leckie Park, Alexandra VIC 3714, Australia"
Surf Coast Shire,Anglesea,River Bank,,Great Ocean Road (opposite Mini fie Avenue),-38.4072825,144.1863305,"Great Ocean Rd, Anglesea VIC 3230, Australia"
Surf Coast Shire,Anglesea,Anglesea Shopping Strip,Car parking area in front,Great Ocean Road (between  Camp Road and McDougall Road),-38.4020789,144.1921144,"McDougall Rd, Anglesea VIC 3230, Australia"
Colac-Otway Shire,Apollo Bay,Apollo Bay Foreshore,,"Great Ocean Road (Collingwood Street) between  Nelson Street
and Moore Street",-38.756341,143.6697059,"Apollo Bay Foreshore Reserve, Apollo Bay VIC 3233, Australia"
West Wimmera Shire,Apsley,Apsley Recreation Reserve,"South west quarter of Oval
only",Splatt Street (opposite Johnston Street),-36.9649686,141.0831068,"Apsley Recreation Reserve, Apsley VIC 3319, Australia"
Ararat Rural City,Ararat,Alexandra Oval,"Carpark north end of oval
next to tennis courts",1 Waratah Avenue,-37.2791979,142.9278958,"Ararat VIC 3377, Australia"
Strathbogie Shire,Avenel,Avenel Recreation Reserve,Pavilion,"Bounded by Swamp Road, Anderson Street and Watson Street",-36.9009764,145.236624,"Avenel Recreation Reserve, Avenel VIC 3664, Australia"
Pyrenees Shire,Avoca,High Street  Median Strip,,"High Street  (Sunraysia Highway) between Cambridge St &
Russell St",-37.0761748,143.4695291,"Sunraysia Hwy, Avoca VIC 3467, Australia"
Greater Bendigo City,Axedale,Axedale Primary School,Oval,"Bounded by McIvor Highway (High Street), Shadforth Street,
Mitchell Street and Raglan Street",-36.7860067,144.500856,"81 High Street, Axedale VIC 3551, Australia"
Ballarat City,Ballarat Central,Central Business District,,Sturt Street  (between  Dawson Street & Lydiard Street),-37.5621395,143.8545856,"Sturt St, Ballarat Central VIC 3350, Australia"
"Southern Grampians
Shire",Balmoral,"Balmoral Memorial Hall and Bowls
Club",Grounds,"Corner Stirling Street (Natimuk-Hamilton Road) and
Glendinning Street",-37.2480918,141.8418591,"Glendinning St, Balmoral VIC 3407, Australia"
"Southern Grampians
Shire",Balmoral,Balmoral Community College,"Car parking adjacent to
gymnasium/tennis courts",Harrow - Balmoral Road,-37.2396917,141.8225668,"1831 Harrow-Balmoral Rd, Balmoral VIC 3407, Australia"
"Southern Grampians
Shire",Balmoral,"Balmoral Mechanic Institute and
Memorial Hall",,26 Glendinning Street,-37.2487095,141.8416458,"Balmoral Bowls Club, 26 Glendinning St, Balmoral VIC 3407, Australia"
"Mornington Peninsula
Shire",Balnarring,Balnarring Village Shopping Centre,Car Park Areas,"Bounded by Frankston-Flinders Road, Balnarring Road and
Russell Street",-38.3730287,145.1252707,"3050 Frankston - Flinders Rd, Balnarring VIC 3926, Australia"
Indigo Shire,Barnawartha,Barnawartha Sports Ground,Pavilion,Corner Soldiers Road and Stanley Street,-36.091923,146.6491585,"Soldiers Rd, Barnawartha VIC 3688, Australia"
Colac-Otway Shire,Barwon Downs,"Barwon Downs Parkland (Old school
site)",,1595 Birregurra-Forrest Road (near corner Wickhams Lane),-38.4687079,143.7588097,"1595 Birregurra-Forrest Rd, Barwon Downs VIC 3243, Australia"
Colac-Otway Shire,Barwon Downs,Barwon Downs Community Hub,"Club Rooms at rear of CFA
Fire Station",1599 Birregurra-Forrest Road,-38.4693684,143.7584212,"1599 Birregurra-Forrest Rd, Barwon Downs VIC 3243, Australia"
Pyrenees Shire,Beaufort,Wotherspoon Park,,Cnr Lawrence Street (Skipton Road) and Havelock Street,-37.4305493,143.3824026,"Havelock St, Beaufort VIC 3373, Australia"
Colac-Otway Shire,Beeac,Beeac Park,,Corner of Main Street (Colac-Ballarat Road) and Wallace Street,-38.1957497,143.6375037,"Wallace St, Beeac VIC 3251, Australia"
Colac-Otway Shire,Beech Forest,Gravel area next to The Beechy Hotel,,35 Main Road (Beech Forest-Mount Sabine Road),-38.636461,143.57425,"35 Main Rd, Beech Forest VIC 3237, Australia"
Indigo Shire,Beechworth,Police Paddocks,,"High St (between  Williams St & Camps St - Rear of Police
Station)",-36.3568457,146.6841094,"Camp St, Beechworth VIC 3747, Australia"
Indigo Shire,Beechworth,Memorial Hall,,Ford Street  (between  Williams Street and Camp Street),-36.3568457,146.6841094,"Camp St, Beechworth VIC 3747, Australia"
Yarra Ranges Shire,Belgrave,Recreation Reserve,,Reserve Road,-37.9154185,145.3467478,"Reserve Rd, Belgrave VIC 3160, Australia"
Yarra Ranges Shire,Belgrave,"Alexanders Car Park (rear of Shopping
Centre)",,Reynolds Lane,-37.9087161,145.3532836,"Belgrave VIC 3160, Australia"
East Gippsland Shire,Bemm  River,Bemm  River Hotel,,3-5 Sydenham Parade,-37.7602125,148.969086,"Bemm River Hotel, 3-5 Sydenham Parade, Bemm River VIC 3889, Australia"
East Gippsland Shire,Benambra,Benambra Oval,,Tip Road,-36.9454338,147.6916117,"Tip Rd, Benambra VIC 3900, Australia"
Greater Bendigo City,Bendigo,Queen Elizabeth Oval,,Corner View Street and Barnard Street,-36.7556904,144.2758217,"30 Gaol Rd, Bendigo VIC 3550, Australia"
East Gippsland Shire,Bendoc,Bendoc Hall,Car Park,Dowling Street (Lower Bendoc Road),-37.1467765,148.8861634,"Lower Bendoc Rd & Dowling St, Bendoc VIC 3888, Australia"
Colac-Otway Shire,Birregurra,Birregurra Park,"Grassed area at Northern
corner",35-39 Main Street (Corner of Strachan Street),-38.342461,143.788794,"Birregurra Park, Birregurra VIC 3242, Australia"
"Mornington Peninsula
Shire",Blairgowrie,Shops,Car Park,"Point Nepean Road (between  St Johns Wood Rd & Mackie
Court)",-38.3609845,144.780212,"St Johns Wood Road, Blairgowrie VIC 3942, Australia"
Casey City Council,Blind Bight,Kestral Close & Petrel Close,,Kestral Close & Petrel Close,-38.2148216,145.3345462,"Kestral Cl, Blind Bight VIC 3980, Australia"
East Gippsland Shire,Bonang,Bonang Hall,Grounds,Bonang Road,-37.172346,148.721824,"213A Bonang Hwy, Bonang VIC 3888, Australia"
Mansfield Shire,Bonnie Doon,Peppin Point Holiday Park,"Tennis Court/Swimming
Pool Area",75 Peppin Drive,-37.07855276,145.8626719,"75 Peppin Dr, Bonnie Doon VIC 3720, Australia"
Mansfield Shire,Bonnie Doon,Bonnie Doon Recreation Reserve,"Car park off Davon Street
adjacent to oval","Bounded by Arnot Street,  Zimmerman Avenue, Davon Street
and Wilson Street",-37.0247192,145.8608398,"2 Davon St, Bonnie Doon VIC 3720, Australia"
